"The Hunger Games (The Hunger Games, #1)","{'Speculative fiction', 'Adventure novel', 'Alternate history', 'Young adult literature', 'Utopian and dystopian fiction', 'Science Fiction'}","{'History', 'Adventure', 'Fantasy', 'Sci-Fi'}"
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","{'Fantasy', ""Children's literature"", 'Speculative fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"Twilight (Twilight, #1)","{'Speculative fiction', 'Fantasy', 'Young adult literature', 'Vampire fiction', 'Romance novel', 'Fiction', 'Horror'}","{'Adventure', 'Adult', 'Sci-Fi', 'Horror', 'Romance', 'Fantasy'}"
To Kill a Mockingbird,{'Fiction'},"{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Great Gatsby,"{'Fiction', 'Novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Fault in Our Stars,{'Young adult literature'},{'Adventure'}
The Hobbit,"{'Speculative fiction', 'Fiction', 'Fantasy', 'Adventure novel', 'Juvenile fantasy', ""Children's literature""}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Catcher in the Rye,"{'Fiction', 'First-person narrative', 'Novel', 'Bildungsroman'}","{'Family', 'Adventure', 'Fantasy', 'Sci-Fi'}"
"Angels & Demons  (Robert Langdon, #1)","{'Speculative fiction', 'Mystery', 'Conspiracy', 'Thriller', 'Cabal', 'Novel', 'Fiction', 'Crime Fiction'}","{'Adventure', 'History', 'Sci-Fi', 'Mystery', 'Thriller', 'Crime', 'Fantasy', 'Documentary'}"
Pride and Prejudice,"{'Romance novel', 'Satire', 'Fiction', 'Novel'}","{'Adventure', 'Adult', 'Sci-Fi', 'Comedy', 'Romance', 'Fantasy', 'Drama'}"
The Kite Runner,"{'Fiction', 'Novel', 'Historical fiction'}","{'History', 'Adventure', 'Fantasy', 'Sci-Fi'}"
1984,"{'Speculative fiction', 'Fiction', 'Social science fiction', 'Utopian and dystopian fiction', 'Science Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
Animal Farm,"{""Children's literature"", 'Speculative fiction', 'Satire', 'Fiction', 'Roman à clef'}","{'Adventure', 'Sci-Fi', 'Biography', 'Comedy', 'Fantasy', 'Drama'}"
"The Girl with the Dragon Tattoo (Millennium, #1)","{'Mystery', 'Thriller', 'Crime Fiction'}","{'Mystery', 'Thriller', 'Crime'}"
"Catching Fire (The Hunger Games, #2)","{'Young adult literature', 'Utopian and dystopian fiction', 'Science Fiction', 'Adventure novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","{'Fantasy', 'Young adult literature', 'Speculative fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"The Fellowship of the Ring (The Lord of the Rings, #1)","{'Biography', 'Fantasy', 'Autobiography', 'Reference', 'Fiction'}","{'Adventure', 'History', 'Sci-Fi', 'Biography', 'Fantasy', 'Documentary'}"
"Mockingjay (The Hunger Games, #3)","{'Speculative fiction', 'Adventure novel', 'Young adult literature', 'Utopian and dystopian fiction', 'Science Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","{'Fantasy', 'Young adult literature', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","{'Fantasy', 'Speculative fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",{'Speculative fiction'},"{'Fantasy', 'Sci-Fi'}"
"The Da Vinci Code (Robert Langdon, #2)","{'Speculative fiction', 'Mystery', 'Suspense', 'Thriller', 'Detective fiction', 'Conspiracy fiction', 'Fiction', 'Crime Fiction'}","{'Adventure', 'History', 'Sci-Fi', 'Mystery', 'Thriller', 'Crime', 'Fantasy'}"
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","{'Fantasy', 'Young adult literature', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
Lord of the Flies,"{'Young adult literature', 'Speculative fiction', 'Novel', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
Romeo and Juliet,{},{}
The Help,"{'Historical novel', 'Novel'}","{'Adventure', 'History', 'Sci-Fi', 'War', 'Fantasy'}"
Of Mice and Men,{'Novella'},"{'Adventure', 'Fantasy', 'Sci-Fi'}"
Memoirs of a Geisha,{'Historical novel'},"{'History', 'War'}"
"Fifty Shades of Grey (Fifty Shades, #1)",{},{}
The Alchemist,"{'Speculative fiction', 'Drama', 'Fantasy', 'Adventure novel', 'Novel', 'Psychology', 'Fiction', 'Science Fiction', 'Historical fiction'}","{'Adventure', 'History', 'Sci-Fi', 'Fantasy', 'Drama'}"
"The Giver (The Giver, #1)","{'Speculative fiction', 'Fiction', 'Social sciences', 'Utopian and dystopian fiction', 'Young adult literature', 'Dystopia', 'Soft science fiction', ""Children's literature"", 'Science Fiction'}","{'Adventure', 'History', 'Sci-Fi', 'Fantasy', 'Documentary'}"
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)","{'Fantasy', 'Speculative fiction', ""Children's literature""}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Time Traveler's Wife,"{'Romance novel', 'Speculative fiction', 'Science Fiction', 'Novel'}","{'Adventure', 'Adult', 'Sci-Fi', 'Romance', 'Fantasy'}"
"A Game of Thrones (A Song of Ice and Fire, #1)","{'Fantasy', 'Speculative fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"The Lightning Thief (Percy Jackson and the Olympians, #1)","{'Speculative fiction', 'Fiction', 'Fantasy', 'Young adult literature', ""Children's literature""}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
Jane Eyre,"{'Bildungsroman', 'Gothic fiction', 'Romance novel', 'Novel', 'Fiction', 'Social criticism'}","{'Adventure', 'Adult', 'Sci-Fi', 'Horror', 'Family', 'Romance', 'Thriller', 'Fantasy', 'Documentary'}"
"The Notebook (The Notebook, #1)",{'Romance novel'},"{'Adult', 'Romance'}"
Life of Pi,"{'Fiction', 'Novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
Water for Elephants,"{'Romance novel', 'Fiction', 'Historical novel', 'Novel'}","{'Adventure', 'History', 'Adult', 'Sci-Fi', 'War', 'Romance', 'Fantasy'}"
Fahrenheit 451,"{""Children's literature"", 'Speculative fiction', 'Fiction', 'Dystopia', 'Utopian and dystopian fiction', 'Science Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"New Moon (Twilight, #2)","{'Speculative fiction', 'Young adult literature', 'Vampire fiction', 'Romance novel', 'Fiction', 'Horror'}","{'Adventure', 'Adult', 'Sci-Fi', 'Horror', 'Romance', 'Fantasy'}"
"City of Bones (The Mortal Instruments, #1)","{'Young adult literature', 'Speculative fiction', ""Children's literature""}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"Eclipse (Twilight, #3)","{'Speculative fiction', 'Fantasy', 'Young adult literature', 'Romance novel', 'Fiction', 'Horror'}","{'Adventure', 'Adult', 'Sci-Fi', 'Horror', 'Romance', 'Fantasy'}"
"Eragon (The Inheritance Cycle, #1)","{'Speculative fiction', 'Fiction', 'Fantasy', 'Young adult literature', 'High fantasy', ""Children's literature"", 'Science Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","{'Speculative fiction', 'Humour', 'Comic science fiction', 'Comic novel', 'Science Fiction'}","{'Sci-Fi', 'Fantasy', 'Comedy'}"
Brave New World,"{""Children's literature"", 'Speculative fiction', 'Fiction', 'Dystopia', 'Utopian and dystopian fiction', 'Science Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"Breaking Dawn (Twilight, #4)","{'Young adult literature', 'Romance novel', 'Speculative fiction', 'Paranormal romance'}","{'Adventure', 'Adult', 'Sci-Fi', 'Horror', 'Romance', 'Fantasy'}"
The Secret Life of Bees,"{'Fiction', 'Novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Adventures of Huckleberry Finn,"{'Fiction', 'Humour', 'Adventure novel', 'Satire', ""Children's literature""}","{'Adventure', 'Sci-Fi', 'Comedy', 'Fantasy', 'Drama'}"
