a,a,a,a,a
2,2,2,2,2
0.009124756,1.553710938,2,2,1.393066406
0.004402161,1.328125,2,2,1.375
0.00705719,1.516601563,1.333333333,2,1.173950195
0.004749298,1.516601563,0.666666667,1,1.112976074
0.008666992,1.471679688,2,2,1.329101563
0.004112244,1.553710938,1.333333333,2,1.116027832
0.007354736,1.724609375,1.333333333,2,1.059997559
0.003393173,1.758789063,2,1,1.130004883
0.004631042,1.374023438,0.666666667,2,1.101989746
0.004947662,1.875,2,2,1.12298584
0.012001038,1.849609375,1.333333333,2,0.998999596
0.007472992,1.639648438,1.333333333,1,1.032989502
0.006019592,1.375,2,2,1.114013672
0.825195313,1.791992188,2,2,1.388916016
0.0039711,1.553710938,2,2,1.149047852
0.005924225,1.810546875,1.333333333,2,1.101989746
0.814941406,1.791992188,2,2,1.37890625
0.009353638,1.553710938,2,2,1.159057617
0.007793427,1.76171875,2,2,1.126953125
0.0103302,0,2,1,1.135009766
0.004638672,1.760742188,2,2,1.011001587
0.008003235,1.553710938,2,2,1.161987305
0.008506775,1.516601563,1.333333333,2,1.032989502
0.007465363,0,0,2,1.040985107
0.005214691,1.791992188,2,2,1.152954102
0.004562378,1.516601563,1.333333333,1,1.020004272
0.014968872,1.548828125,2,1,1.128051758
0.006900787,0,2,2,1.099975586
0.005313873,1.872070313,2,2,0.987998962
0.015930176,1.842773438,2,1,1.197998047
0.003904343,1.73046875,1.333333333,2,1.20300293
0.013931274,1.411132813,2,2,1.170043945
0.014640808,1.76171875,2,1,1.168945313
0.0050354,1.553710938,2,2,1.269042969
0.007919312,1.483398438,0.666666667,2,1.099975586
0.007102966,1.33984375,2,2,1.117980957
0.011146545,1.516601563,2,2,1.032012939
0.007808685,1.500976563,2,2,1.065979004
0.007659912,1.641601563,1.333333333,1,1.018997192
0.006175995,1.2265625,2,2,1.088012695
0.00717926,1.471679688,2,2,1.229003906
0.008102417,1.328125,2,1,1.081970215
0.007820129,1.818359375,2,2,1.159057617
0.006984711,1.604492188,1.333333333,2,1.062011719
0.016708374,1.641601563,1.333333333,2,1.039001465
0.00604248,1.3203125,2,1,1.07800293
0.010467529,1.516601563,2,2,1.088989258
0.005725861,1.530273438,0.666666667,2,0.973007202
0.007045746,1.471679688,1.333333333,2,1.04699707
0.005233765,1.375,2,2,1.067993164
0.007575989,1.736328125,0.666666667,2,1.055999756
0.007045746,1.516601563,2,2,1.119995117
0.010406494,1.825195313,1.333333333,2,0.986000061
0.008537292,1.875,1.333333333,1,1.029006958
0.003805161,1.516601563,2,2,1.064025879
0.007553101,1.516601563,2,2,1.152954102
0.011322021,1.849609375,2,2,1.04800415
0.021011353,1.764648438,0.666666667,2,1.013000488
0.005405426,1.537109375,1.333333333,2,1.031005859
0.012741089,1.454101563,2,2,1.090026855
0.008102417,1.516601563,0.666666667,2,1.044006348
0.006515503,1.530273438,2,2,1.117004395
0.007316589,1.700195313,2,2,1.106018066
0.011795044,1.506835938,0,2,0.946990967
0.005008698,0,1.333333333,1,1.011001587
0.00422287,1.73046875,2,2,0.986999512
0.009635925,1.83984375,0.666666667,2,0.995998383
0.005741119,1.51171875,2,2,1.045013428
0.01083374,1.516601563,1.333333333,2,1.002000809
0.008209229,1.74609375,2,2,1.070983887
0.006244659,1.665039063,2,2,1.168945313
0.009239197,1.251953125,1.333333333,2,1.126953125
0.003805161,1.516601563,1.333333333,1,1.109008789
0.009246826,1.791992188,2,2,1.287109375
0.009117126,1.641601563,0.666666667,2,1.062011719
0.002161026,1.471679688,1.333333333,2,0.922973633
0.0078125,1.736328125,0.666666667,2,0.959014893
0.006855011,1.787109375,0.666666667,2,1.006000519
0.008056641,1.375,2,2,1.003000259
0.004653931,1.516601563,2,2,1.040985107
0.002765656,1.553710938,1.333333333,2,1.016998291
0.009712219,1.400390625,0.666666667,1,0.983001709
0.01651001,1.849609375,2,2,1
0.007228851,1.318359375,2,2,1.119995117
0.01108551,1.516601563,0.666666667,1,0.988998413
0.012542725,1.818359375,2,1,1.062011719
0.01020813,1.516601563,2,2,1.101989746
0.007217407,1.725585938,1.333333333,2,0.977996826
0.003681183,1.776367188,2,2,1.058990479
0.020263672,1.724609375,2,2,1.032989502
0.010772705,1.818359375,1.333333333,2,1.111022949
0.007137299,1.516601563,2,2,1.078979492
0.006896973,1.791992188,2,2,1.040008545
0.013114929,1.516601563,2,2,1.119018555
0.00586319,1.374023438,1.333333333,2,0.949005127
0.005973816,1.537109375,2,1,1.062011719
0.009223938,1.516601563,2,2,1.090026855
0.005775452,0,0,2,0.946990967
0.013290405,1.83984375,1.333333333,1,0.973999023
0.009124756,1.553710938,2,2,1.393066406
2,2,2,2,2
0.011528015,1.548828125,2,2,1.261962891
0.009925842,1.883789063,1.333333333,2,1.162963867
0.011650085,1.883789063,0.666666667,1,1.165039063
0.009918213,1.33203125,2,2,1.204956055
0.016067505,2,1.333333333,2,1.199951172
0.018051147,1.694335938,1.333333333,2,1.073974609
0.007472992,1.685546875,2,1,1.135986328
0.006389618,1.4765625,0.666666667,2,1.142944336
0.008293152,1.641601563,2,2,1.057006836
0.012809753,1.704101563,1.333333333,2,1.073974609
0.009529114,1.8671875,1.333333333,1,1.059997559
0.012420654,1.767578125,2,2,1.070007324
0.008514404,1.680664063,2,2,1.126953125
0.861816406,2,2,2,1.511230469
0.012115479,1.7109375,1.333333333,2,1.229980469
0.009101868,1.680664063,2,2,1.130981445
0.911621094,2,2,2,1.458007813
0.776855469,1.791992188,2,2,1.501953125
0.825683594,0,2,1,1.45703125
0.016082764,1.705078125,2,2,1.07598877
0.749511719,2,2,2,1.465087891
0.018096924,1.883789063,1.333333333,2,1.062011719
0.005859375,0,0,2,1.109008789
0.007289886,1.435546875,2,2,1.085998535
0.010391235,1.883789063,1.333333333,1,1.036010742
0.007331848,1.500976563,2,1,1.080993652
0.009216309,0,2,2,1.013999939
0.011116028,1.732421875,2,2,1.029998779
0.008850098,1.713867188,2,1,1.177978516
0.038208008,1.883789063,1.333333333,2,1.283935547
0.01361084,1.321289063,2,2,1.044006348
0.023529053,1.791992188,2,1,1.235961914
0.021835327,2,2,2,1.301025391
0.015090942,1.518554688,0.666666667,2,1.08001709
0.015220642,1.747070313,2,2,1.078979492
0.006874084,1.883789063,2,2,1.012001038
0.014328003,1.413085938,2,2,1.022994995
0.018218994,1.883789063,1.333333333,1,1.035003662
0.010993958,1.435546875,2,2,1.067993164
0.013648987,1.33203125,2,2,1.170043945
0.007427216,1.548828125,2,1,1.085021973
0.026916504,1.704101563,2,2,1.259033203
0.006462097,1.78515625,1.333333333,2,1.106994629
0.014511108,1.883789063,1.333333333,2,1.117004395
0.010246277,1.280273438,2,1,1.07800293
0.019317627,1.883789063,2,2,0.998999596
0.014717102,1.883789063,0.666666667,2,1.049987793
0.007232666,1.33203125,1.333333333,2,1.117980957
0.01675415,1.73828125,2,2,1.049987793
0.011680603,1.673828125,0.666666667,2,1.029006958
0.011291504,1.883789063,2,2,1.040008545
0.00453186,1.646484375,1.333333333,2,0.986000061
0.013221741,1.641601563,1.333333333,1,1.027999878
0.009140015,1.883789063,2,2,1.013999939
0.01197052,1.883789063,2,2,1.122009277
0.012458801,1.704101563,2,2,1.085021973
0.020324707,1.747070313,0.666666667,2,1.042999268
0.013710022,1.7734375,1.333333333,2,1.029998779
