id,title,similar_movies,similar_books
1-1,"The Hunger Games (The Hunger Games, #1)","['0-70160', '0-101299', '0-1562', '0-298', '0-98', '0-87827', '0-45269', '0-5255']","['1-1', '1-17', '1-20', '1-201', '1-408', '1-457', '1-286', '1-294', '1-708', '1-325', '1-36']"
1-2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","['0-671', '0-675', '0-767', '0-672', '0-673', '0-674', '0-36955', '0-8321', '0-8966', '0-559', '0-95']","['1-2', '1-21', '1-18', '1-24', '1-23', '1-27', '1-479', '1-693']"
1-3,"Twilight (Twilight, #1)","['0-50619', '0-587', '0-162', '0-12162', '0-6947', '0-45269', '0-36648', '0-52520', '0-36586', '0-36557']","['1-3', '1-49', '1-52', '1-56', '1-732', '1-46', '1-197', '1-68', '1-624']"
1-4,To Kill a Mockingbird,"['0-19913', '0-23168', '0-585', '0-2105', '0-9479', '0-948']","['1-4', '1-650', '1-515', '1-183', '1-131', '1-5', '1-90', '1-715', '1-284', '1-225', '1-265', '1-85', '1-55']"
1-5,The Great Gatsby,"['0-64682', '0-402', '0-4922', '0-19913', '0-3981', '0-62', '0-567']","['1-5', '1-650', '1-515', '1-58', '1-471', '1-124', '1-4', '1-131', '1-540', '1-706', '1-485', '1-446']"
1-6,The Fault in Our Stars,"['0-3131', '0-559', '0-41733', '0-1930', '0-118', '0-557', '0-411', '0-616']","['1-6', '1-289', '1-294', '1-428', '1-601', '1-328', '1-757', '1-382', '1-196', '1-653', '1-310']"
1-7,The Hobbit,"['0-120', '0-122', '0-121', '0-9340', '0-9479', '0-409', '0-857']","['1-7', '1-19', '1-189', '1-161', '1-155', '1-611', '1-321', '1-593', '1-292', '1-335', '1-730', '1-66']"
1-8,The Catcher in the Rye,"['0-78', '0-500', '0-22970', '0-772', '0-9479', '0-14', '0-37135', '0-694', '0-185']","['1-8', '1-111', '1-43', '1-763', '1-66', '1-72', '1-225', '1-37', '1-55', '1-85']"
1-9,"Angels & Demons  (Robert Langdon, #1)","['0-591', '0-41733', '0-559', '0-1995', '0-1930', '0-557', '0-17654', '0-411', '0-17431', '0-956', '0-7220', '0-9477']","['1-9', '1-26', '1-201', '1-493', '1-328', '1-428', '1-70']"
1-10,Pride and Prejudice,"['0-500', '0-22', '0-285', '0-3981', '0-58']","['1-10', '1-43', '1-171', '1-76', '1-156', '1-455', '1-451', '1-230', '1-63', '1-361', '1-471', '1-71', '1-540', '1-590']"
1-11,The Kite Runner,"['0-278927', '0-855', '0-1927', '0-8909', '0-587']","['1-11', '1-275', '1-344', '1-67', '1-723', '1-259', '1-91', '1-104', '1-135', '1-504', '1-39', '1-376', '1-167', '1-779']"
1-13,1984,"['0-2978', '0-956', '0-603', '0-2118', '0-620', '0-409', '0-4232']","['1-13', '1-221', '1-371', '1-640', '1-332', '1-738', '1-441', '1-55', '1-255', '1-670', '1-606', '1-493']"
1-14,Animal Farm,"['0-80321', '0-500', '0-7518', '0-600', '0-6114']","['1-14', '1-408', '1-681', '1-498', '1-59', '1-641', '1-321', '1-131', '1-168', '1-332', '1-284', '1-225', '1-205', '1-55']"
